"81","38.34741111","-78.22621111","2021-04-06 18:18:31","-116","6.75"
"82","38.34741111","-78.22621111","2021-04-06 18:18:38","-110","7.25"
"83","38.34741111","-78.22621111","2021-04-06 18:18:45","-112","7.5"
"84","38.34741111","-78.22621111","2021-04-06 18:18:52","-111","7"
"85","38.34741111","-78.22621111","2021-04-06 18:18:59","-108","7"
"86","38.34741111","-78.22621111","2021-04-06 18:18:06","-109","7.25"
"87","38.34741111","-78.22621111","2021-04-06 18:18:13","-105","7.5"
"88","38.34741111","-78.22621111","2021-04-06 18:18:20","-102","7.5"
"89","38.34741111","-78.22621111","2021-04-06 18:18:28","-105","7.75"
"90","38.34741111","-78.22621111","2021-04-06 18:18:35","-100","7.5"
"91","38.34741111","-78.22621111","2021-04-06 18:18:42","-111","6"
"92","38.34741111","-78.22621111","2021-04-06 18:18:49","-107","6.25"
"93","38.34741111","-78.22621111","2021-04-06 18:18:56","-108","7"
"94","38.34741111","-78.22621111","2021-04-06 18:18:03","-102","7"
"95","38.34741111","-78.22621111","2021-04-06 18:18:10","-109","7.25"
"96","38.34741111","-78.22621111","2021-04-06 18:18:17","-108","7.75"
"97","38.34741111","-78.22621111","2021-04-06 18:18:25","-111","7.25"
"98","38.34741111","-78.22621111","2021-04-06 18:18:32","-110","7.25"
"99","38.34741111","-78.22621111","2021-04-06 18:18:39","-119","5.5"
"100","38.34741111","-78.22621111","2021-04-06 18:18:46","-115","7.25"
"101","38.34741111","-78.22621111","2021-04-06 18:18:53","-122","2.25"
"102","38.34741111","-78.22621111","2021-04-06 19:19:00","-123","1.5"
"103","38.34741111","-78.22621111","2021-04-06 19:19:07","-125","-0.75"
"104","38.34741111","-78.22621111","2021-04-06 19:19:14","-122","4.75"
"105","38.34741111","-78.22621111","2021-04-06 19:19:21","-127","0"
"106","38.34741111","-78.22621111","2021-04-06 19:19:28","-121","3.5"
"107","38.34741111","-78.22621111","2021-04-06 19:19:35","-125","3.25"
"118","38.34741111","-78.22621111","2021-04-06 19:19:53","-130","-5.75"
"120","38.34741111","-78.22621111","2021-04-06 19:19:08","-130","-8.25"
"121","38.34741111","-78.22621111","2021-04-06 19:19:15","-128","-2"
"122","38.34741111","-78.22621111","2021-04-06 19:19:22","-129","-2.25"
"123","38.34741111","-78.22621111","2021-04-06 19:19:29","-129","-5.75"
"131","38.34741111","-78.22621111","2021-04-06 19:19:24","-129","-10.25"
"132","38.34741111","-78.22621111","2021-04-06 19:19:31","-130","-12"
"138","38.34741111","-78.22621111","2021-04-06 19:19:14","-131","-10.25"
"144","38.34741111","-78.22621111","2021-04-06 19:19:56","-130","-4.75"
"145","38.34741111","-78.22621111","2021-04-06 19:19:03","-123","4.25"
"146","38.34741111","-78.22621111","2021-04-06 19:19:10","-121","3.75"
"147","38.34741111","-78.22621111","2021-04-06 19:19:17","-120","3.75"
"148","38.34741111","-78.22621111","2021-04-06 19:19:24","-116","6.75"
"149","38.34741111","-78.22621111","2021-04-06 19:19:31","-114","7"
"150","38.34741111","-78.22621111","2021-04-06 19:19:38","-115","6.5"
"151","38.34741111","-78.22621111","2021-04-06 19:19:46","-113","6.5"
"152","38.34741111","-78.22621111","2021-04-06 19:19:53","-107","7.75"
"153","38.34741111","-78.22621111","2021-04-06 19:19:00","-110","8"
"154","38.34741111","-78.22621111","2021-04-06 19:19:07","-102","6.75"
"155","38.34741111","-78.22621111","2021-04-06 19:19:14","-81","7.25"
"157","38.34741111","-78.22621111","2021-04-10 17:17:26","-89","7"
"158","38.34741111","-78.22621111","2021-04-10 17:17:33","-89","7"
"159","38.34741111","-78.22621111","2021-04-10 17:17:40","-89","7"
"160","38.34741111","-78.22621111","2021-04-10 17:17:47","-100","7"
"161","38.34741111","-78.22621111","2021-04-10 17:17:54","-89","7.25"
"162","38.34741111","-78.22621111","2021-04-10 17:17:01","-87","7.25"
"163","38.34741111","-78.22621111","2021-04-10 17:17:08","-112","6.75"
"164","38.34741111","-78.22621111","2021-04-10 17:17:17","-109","7"
"165","38.34741111","-78.22621111","2021-04-10 17:17:24","-115","7"
"166","38.34741111","-78.22621111","2021-04-10 17:17:31","-120","5.75"
"167","38.34741111","-78.22621111","2021-04-10 17:17:38","-120","5"
"168","38.34741111","-78.22621111","2021-04-10 17:17:45","-125","1"
"169","38.34741111","-78.22621111","2021-04-10 17:17:52","-128","-0.5"
"170","38.34741111","-78.22621111","2021-04-10 17:17:59","-129","-3"
"171","38.34741111","-78.22621111","2021-04-10 17:17:06","-129","-7.75"
"174","38.34741111","-78.22621111","2021-04-10 17:17:26","-130","-5.25"
"180","38.34741111","-78.22621111","2021-04-10 17:17:09","-131","-9.5"
"181","38.34741111","-78.22621111","2021-04-10 17:17:16","-130","-9.75"
"218","38.34741111","-78.22621111","2021-04-10 17:17:38","-110","7.75"
"219","38.34741111","-78.22621111","2021-04-10 17:17:45","-113","7.5"
"220","38.34741111","-78.22621111","2021-04-10 17:17:52","-123","3"
"222","38.34741111","-78.22621111","2021-04-10 17:17:07","-130","-6.25"
"227","38.34741111","-78.22621111","2021-04-10 17:17:43","-130","-8.25"
"228","38.34741111","-78.22621111","2021-04-10 17:17:50","-129","-3.75"
"229","38.34741111","-78.22621111","2021-04-10 17:17:58","-130","-4.75"
"450","38.34741111","-78.22621111","2021-04-10 18:18:30","-121","5.25"
"452","38.34741111","-78.22621111","2021-04-10 18:18:45","-118","6.75"
"453","38.34741111","-78.22621111","2021-04-10 18:18:52","-121","2.75"
"454","38.34741111","-78.22621111","2021-04-10 18:18:59","-116","5.75"
"455","38.34741111","-78.22621111","2021-04-10 18:18:06","-111","6.25"
"456","38.34741111","-78.22621111","2021-04-10 18:18:13","-111","7.25"
"457","38.34741111","-78.22621111","2021-04-10 18:18:20","-98","7.5"
"458","38.34741111","-78.22621111","2021-04-10 18:18:27","-113","7.25"
"459","38.34741111","-78.22621111","2021-04-10 18:18:34","-110","6.75"
"460","38.34741111","-78.22621111","2021-04-10 18:18:41","-110","7.25"
"461","38.34741111","-78.22621111","2021-04-10 18:18:48","-102","7.25"
"462","38.34741111","-78.22621111","2021-04-10 18:18:56","-105","7.75"
"463","38.34741111","-78.22621111","2021-04-10 18:18:03","-103","7.25"
"464","38.34741111","-78.22621111","2021-04-10 18:18:10","-113","3.75"
"465","38.34741111","-78.22621111","2021-04-10 18:18:17","-106","7.5"
"466","38.34741111","-78.22621111","2021-04-10 18:18:24","-122","3.5"
"467","38.34741111","-78.22621111","2021-04-10 18:18:31","-119","6"
"468","38.34741111","-78.22621111","2021-04-10 18:18:38","-114","7"
"469","38.34741111","-78.22621111","2021-04-10 18:18:46","-119","4.25"
"470","38.34741111","-78.22621111","2021-04-10 18:18:53","-117","6.25"
"471","38.34741111","-78.22621111","2021-04-10 18:18:00","-119","6"
"472","38.34741111","-78.22621111","2021-04-10 18:18:07","-115","7.25"
"473","38.34741111","-78.22621111","2021-04-10 18:18:14","-120","6"
"474","38.34741111","-78.22621111","2021-04-10 18:18:21","-120","5.5"
"475","38.34741111","-78.22621111","2021-04-10 18:18:28","-126","-2"
"479","38.34741111","-78.22621111","2021-04-10 18:18:57","-123","3.25"
"481","38.34741111","-78.22621111","2021-04-10 18:18:12","-113","6.75"
"482","38.34741111","-78.22621111","2021-04-10 18:18:19","-116","6.75"
"483","38.34741111","-78.22621111","2021-04-10 18:18:26","-121","4"
"484","38.34741111","-78.22621111","2021-04-10 18:18:33","-123","3.25"
"488","38.34741111","-78.22621111","2021-04-10 18:18:03","-127","-0.25"
"489","38.34741111","-78.22621111","2021-04-10 18:18:10","-129","-4"
"491","38.34741111","-78.22621111","2021-04-10 18:18:24","-130","-6.75"
